police officers&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.025549310168625446&frequency=1200
home secretary&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.0114120252086527&frequency=536
police forces&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.011390734116845512&frequency=535
metropolitan police&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.010943621188894567&frequency=514
antisocial behaviour&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.01041134389371487&frequency=489
home office&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.008771929824561403&frequency=412
police force&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.006067961165048544&frequency=285
chief constable&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.005940214614205417&frequency=279
police crime commissioners&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.004769204564810083&frequency=224
home affairs&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.004620166922159768&frequency=217
organised crime&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.003938851984329757&frequency=185
police officer&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.0038962698007153807&frequency=183
police crime&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.0033639925055356837&frequency=158
chief constables&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.0032788281383069324&frequency=154
neighbourhood policing&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.0028955884857775507&frequency=136
dna database&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.0027465508431272355&frequency=129
police numbers&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.0024484755578266055&frequency=115
police crime commissioner&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.0024271844660194173&frequency=114
knife crime&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.001980071538068472&frequency=93
police service&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.0018736160790325327&frequency=88
police authorities&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.0018736160790325327&frequency=88
front line&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.001852324987225345&frequency=87
violent crime&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.0017671606199965934&frequency=83
police station&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.00170328734457503&frequency=80
police community&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.00170328734457503&frequency=80
keith vaz&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.0016819962527678419&frequency=79
crime agency&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.0015755407937319025&frequency=74
police commissioners&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.0014690853346959632&frequency=69
chief police officers&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.0014265031510815875&frequency=67
shadow home&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.0014265031510815875&frequency=67
police federation&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.0013200476920456482&frequency=62
college policing&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.0012987566002384601&frequency=61
police stations&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.0012561744166240845&frequency=59
dangerous dogs&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.0012561744166240845&frequency=59
policing crime&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.0012348833248168967&frequency=58
police crime panel&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.001171010049395333&frequency=55
association chief police officers&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.001171010049395333&frequency=55
police authority&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.0011497189575881452&frequency=54
majesty inspectorate constabulary&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.0011284278657809573&frequency=53
mayor london&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.0011284278657809573&frequency=53
cctv cameras&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.0011071367739737693&frequency=52
criminal justice&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.0010858456821665815&frequency=51
young people&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.0010645545903593936&frequency=50
stop search&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.00100068131493783&frequency=47
midlands police&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.00100068131493783&frequency=47
police complaints&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.00100068131493783&frequency=47
police police&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=0.00100068131493783&frequency=47
manchester police&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=9.793902231306421E-4&frequency=46
number police officers&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=9.793902231306421E-4&frequency=46
england wales&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=9.793902231306421E-4&frequency=46
fight crime&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=9.793902231306421E-4&frequency=46
metropolitan police commissioner&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=9.793902231306421E-4&frequency=46
inspectorate constabulary&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=9.580991313234543E-4&frequency=45
crime disorder&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=9.580991313234543E-4&frequency=45
gun crime&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=9.368080395162664E-4&frequency=44
counter terrorism&titleId=0&totalTokens=290187&title=police officers, home secretary, police forces, metropolitan police, antisocial behaviour, home office, chief constable, police crime commissioners, home affairs, organised crime&weight=9.368080395162664E-4&frequency=44
